group_name,debut_year,debut_month,debut_day
Asia GirlS,2021,November,18
IVE,2021,December,1
Xdinary Heroes,2021,December,6
MUZIGAE,2021,December,9
Coupsis,2021,December,10
On Top,2021,December,10
Rocking Doll,2021,December,19
Precious Daughters,2021,December,22
LALA GIRLS,2022,January,1
The Whales,2022,January,1
Kep1er,2022,January,3
GOT the beat,2022,January,3
H1-KEY,2022,January,5
TRENDZ,2022,January,5
D-art,2022,January,7
Silhouette,2022,January,7
M.M.D,2022,January,27
VIVIZ,2022,February,9
With Me,2022,February,11
JWiiver,2022,February,17
NMIXX,2022,February,22
BLACK LEVEL,2022,February,26
TEMPEST,2022,March,2
TAN,2022,March,10
Fresh,2022,March,30
Nine.i,2022,March,30
ILY,2022,April,4
AQA,2022,April,16
YOUNITE,2022,April,20
Pretty,2022,April,20
LE SSERAFIM,2022,May,2
CLASS,2022,May,5
TNX,2022,May,17
Blank2y,2022,May,24
Rush,2022,May,31
FAINIT,2022,June,13
Girls’ World,2022,June,20
LAPILLUS,2022,June,20
SUPERKIND,2022,June,20
IRRIS,2022,July,6
Daisy,2022,July,8
UiU,2022,July,11
Red Balm,2022,July,15
NewJeans,2022,July,22
CSR,2022,July,27
ATBO,2022,July,27
Bubble,2022,August,12
I1IT,2022,August,25
Black Rose,2022,August,26
Villain,2022,September,2
Cupid,2022,September,4
We;Na,2022,September,5
mimiirose,2022,September,16
Spirit,2022,September,16
POA,2022,September,21
DIGNITY,2022,September,23
CocaNButter,2022,October,6
Peach A!,2022,October,8
Winny,2022,October,14
ABLUE,2022,October,23
Queenz Eye,2022,October,24
Memoria,2022,October,28
ARTBEAT v,2022,November,16
AIMERS,2022,November,17
FIFTY FIFTY,2022,November,18
Stars,2022,November,18
XEED,2022,December,1
SHINHWA WDJ,2022,December,6
UNI,2022,December,9
HANA,2023,January,8
Cherish,2023,January,13
PRIMROSE,2023,January,13
MAVE,2023,January,25
STARDAYS,2023,January,15
ONEST,2023,January,27
THE7,2023,January,29
8TURN,2023,January,30
BXB,2023,January,30
Clair,2023,February,10
tripleS,2023,February,13
LIMELIGHT,2023,February,14
HAWW,2023,February,23
Ascension,2023,February,24
Hiding Day,2023,March,1
A-plus,2023,March,2
PLAVE,2023,March,12
LA FLOR,2023,March,13
QI.X,2023,March,22
WE,2023,March,29
xikers,2023,March,30
Delight,2023,March,31
WE US,2023,April,3
X,2023,April,11
ANTARES,2023,April,16
NCT DOJAEJUNG,2023,April,17
XODIAC,2023,April,25
CMDM,2023,April,27
+(KR)ystal Eyes (tripleS),2023,May,4
ADYA,2023,May,9
FE,2023,May,9
(M)IRROR,2023,May,12
The Wind,2023,May,15
Closer,2023,May,16
Redplum,2023,May,26
BOYNEXTDOOR,2023,May,30
NINE to SIX (DKZ),2023,May,31
ACID EYES (tripleS),2023,June,6
LUN8,2023,June,15
Bunny.T,2023,June,19
Babys,2023,June,20
Hi-Fi Un!corn,2023,June,26
T5 (TREASURE),2023,June,28
KISS OF LIFE,2023,July,5
Lucid,2023,July,7
ZEROBASEONE,2023,July,10
E,2023,July,18
BBGIRLS,2023,August,3
LOVElution (tripleS),2023,August,17
RIIZE,2023,September,4
EL7Z UP,2023,September,14
Loossemble,2023,September,15
EVNNE,2023,September,19
FANTASY BOYS,2023,September,21
82MAJOR,2023,October,11
EVOLution (tripleS),2023,October,11
POW,2023,October,11
QWER,2023,October,18
YOUNG POSSE,2023,October,18
NiziU,2023,October,30
Catch The Young,2023,November,1
WHIB,2023,November,8
AMPERS&ONE,2023,November,15
EASTSHINE,2023,November,16
LUN8wave (LUN8),2023,November,22
BABYMONSTER,2023,November,27
ONE PACT,2023,November,30
NXT (tripleS),2023,December,23
Geenius,2024,January,5
WAKER,2024,January,8
ALL(H)OURS,2024,January,10
Aria (tripleS),2024,January,15
DXMON,2024,January,17
TWS,2024,January,22
N-DAY,2024,January,24
VCHA,2024,January,26
NCT WISH,2024,February,21
NOMAD,2024,February,28
ILLIT,2024,March,25
UNIS,2024,March,27
RESCENE,2024,March,26
Candy Shop,2024,March,27
BABYMONSTER,2024,April,1
VVUP,2024,April,1
SPIA,2024,April,2
NOWADAYS,2024,April,2
ME,2024,April,17
UNICODE,2024,April,17
Big Ocean,2024,April,20
TIOT,2024,April,22
TOZ,2024,May,2
DayChild,2024,May,6
ASC2NT,2024,May,7
tripleS,2024,May,8
B-OURS,2024,May,16
NEXZ,2024,May,20
WATERFIRE,2024,May,30
ARTMS,2024,May,31
NextU,2024,May,31
BADVILLAIN,2024,June,3
I,2024,June,4
IS,2024,June,19
tripleS Glow,2024,June,21
F.CUZ Sons,2024,June,25
B.D.U,2024,June,26
BLINGONE-PE,2024,June,27
ASTELL,2024,July,9
Crazangel,2025,July,10
DIGNITY,2024,July,24
KAVE,2024,July,24
UNISON,2024,July,28
Celest1a,2024,July,31
Clear,2024,July,31
3piece,2024,August,5
O.A.Be,2024,August,10
ARrC,2024,August,19
Gen1es,2024,August,22
GENBLUE,2024,September,2
MADEIN,2024,September,3
L5ST,2024,September,3
MEOVV,2024,September,6
Dragon Pony,2024,September,26
New-L,2024,September,27
SAY MY NAME,2024,October,16
Vision@ry Vision [tripleS],2024,October,23
ODD YOUTH,2024,November,1
Toth6y [PinkFantasy X TMC],2024,November,5
W!TCHX,2024,November,6
13Found,2024,November,13
LOVEONE,2024,November,22
KELT9b,2024,November,23
izna,2024,November,25
T,2024,December,5
KYSB,2024,December,25
QUESTIONMARK,2024,December,31
XLOV,2025,January,7
Hidden Glow,2025,January,10
Kandis,2025,January,14
KickFlip,2025,January,20
IRISÉ,2025,February,14
AWIN,2025,February,16
Hearts2Hearts,2025,February,24
NouerA,2025,February,26
3WAY,2025,February,27
SUNNYKEY,2025,March,12
IN A MINUTE,2025,March,15
KiiiKiii,2025,March,24
NEWBEAT,2025,March,24
REKIREM,2025,March,24
XY,2025,March,26
Hi-Dream,2025,March,27
M.prism,2025,March,28
RE,2025,March,28
CLOSE YOUR EYES,2025,April,2
ifeye,2025,April,8
cosmosy,2025,April,11
OSDS,2025,April,24
HITGS,2025,April,28
UDTT,2025,April,29
ablume,2025,May,9
MECHANISM,2025,May,21
LADYBOUNCE,2025,May,21
UAU [Dreamcatcher],2025,May,28
KIIRAS,2025,May,29
XD [formerly XEED],2025,May,30
USPEER,2025,June,4
Re,2025,June,7
Double 0ne [FANTASY BOYS X BAE173],2025,June,12
XONIK,2025,June,16
BE BOYS,2025,June,18
BANGTAN PINK,2025,June,18
OX,2025,June,20
DIVA-X,2025,June,20
Baby DONT Cry,2025,June,23
ALLDAY PROJECT,2025,June,23
KIK,2025,June,30
AHOF,2025,July,1
CrazAngel,2025,July,10
Tomatomat,2025,July,11
Nerd on Skate,2025,July,13
FIRR,2025,July,15
1VERSE,2025,July,18
4X4,2025,July,19
Brown Tigger Band,2025,July,28
XngHan&Xoul,2025,August,1
Rainbow18 [RAINBOW],2025,August,1
N.TOP,2025,August,6
unevermet [idntt],2025,August,11
AtHeart,2025,August,13
DADADA,2025,August,13
MADEIN S [MADEIN],2025,August,14
TDYA,2025,August,14
Backstage boys,2025,August,17
CORTIS,2025,August,18
nnn,2025,August,24
IXIA,2025,August,27
iii,2025,August,29
NWH,2025,October,24
ARVVY,2025,October,30
E11iVYN,2025,October,30
AM8IC,2025,November,10
msnz [tripleS],2025,November,24
UX1 [UKISS],2025,November,26
MEPC,2025,December,8
