group_name,alt_name,Korean Name,Debut,Company,Members,Orig. Memb.,Active
DRIPPIN,,드리핀,2020-10-26,Woollim,7,7,Yes
Dustin,,더스틴,2020-01-06,LPA,7,7,Yes
E’LAST,,엘라스트,2020-06-09,E Entertainment,8,8,Yes
EL7Z UP,,엘즈업,2023-09-14,"Apple, DG",7,7,Yes
ENHYPEN,,엔하이픈,2020-11-30,Be:lift,7,7,Yes
ENOi,,이엔오아이,2019-04-19,KITHEWHALE,7,7,No
EPEX,,이펙스,2021-06-08,C9,8,8,Yes
Episode,,에피소드,2020-02-04,Pops,5,5,Yes
Everglow,,에버글로우,2019-03-18,Yuehua,6,6,Yes
EVNNE,,이븐,2023-09-19,Jellyfish,7,7,Yes
EvoL,,이블,2012-08-10,Stardom,5,5,No
EXID,,이엑스아이디,2012-02-16,Yedang,5,6,Hiatus
EXO,,엑소,2012-04-08,SM,9,12,Yes
F.able,,페이블,2020-06-04,Haerium,5,5,Yes
FANATICS,,파나틱스,2019-08-06,FENT,8,6,Yes
Fantasy Boys,,판타지보이즈,2023-09-21,PocketDol,11,12,Yes
Favorite,,페이버릿,2017-07-05,Astory,6,6,Yes
Fiestar,,피에스타,2012-08-31,LOEN,5,6,No
FIFTY FIFTY,,피프티피프티,2022-11-18,ATTRAKT,4,4,Yes
FLAVOR,,플레이버,2018-11-26,FENT,3,3,No
fromis_9,,프로미스나인,2018-01-24,Off The Record,9,9,Yes
G-reyish,Greyish,그레이시,2017-06-01,Elijah,4,4,No
Gawi Bawi Bo,GBB,지비비,2018-05-01,LOUDers,5,5,Yes
GeeGu,,지구,2017-10-26,NOS,7,9,No
Geenius,,지니어스,2024-01-05,HOMe,5,5,Yes
GFriend,,여자친구,2015-01-15,Source,6,6,No
Ghost9,,고스트나인,2020-09-23,Maroo,7,9,Yes
GI,Global Icon,지아이,2013-04-03,Simtong,3,5,No
Girlkind,,걸카인드,2018-01-16,Nextlevel,5,5,Yes
Girls Girls,,여자여자,2015-12-09,H Brothers,4,5,No
GLAM,,글램,2012-07-16,Big Hit,4,4,No
Golden Child,,골든 차일드,2017-08-28,Woollim,10,11,Yes
Good Day,,굿데이,2017-08-30,C9,10,10,No
GOT7,,갓세븐,2014-01-16,JYP,7,7,Hiatus
GreatGuys,,멋진녀석들,2017-08-25,DNA,9,9,Yes
GsA,Girls' Alert,소녀주의보,2017-05-25,Roots,5,5,Yes
Gugudan,,구구단,2016-06-28,Jellyfish,8,9,No
GWSN,,공원소녀,2018-09-05,Kiwi Pop,7,7,Yes
H.B.Y,Hot Blood Youth,열혈남아,2017-08-16,Rainbow,5,5,Yes
H.U.B,HUB,허브,2017-02-09,New Planet,5,4,No
H1-KEY,,하이키,2022-01-05,GLG,4,4,Yes
HALO,,헤일로,2014-07-26,Histar,6,6,Yes
Hashtag,Hash Tag,해시태그,2017-10-11,LUK,7,7,Yes
HAWW,,하우,2023-02-23,Biscuit,7,7,Yes
Hello Venus,HV,헬로비너스,2012-05-09,Fantagio,6,6,No
Heygirls,,헤이걸스,2017-11-20,Moai,4,4,Yes
Hi Cutie,,하이큐티,2017-10-12,Space,4,5,Yes
Hi-L,,하이엘,2021-08-11,Kpop Live,6,6,Yes
HIGH4,,하이포,2014-04-08,NAP,4,4,No
HighSchool,,여고생,2019-04-30,Richworld,4,4,No
Highteen,,하이틴,2016-10-14,Elijah,4,4,No
Hinapia,,희나피아,2019-11-03,Alseulbit,5,5,No
Hint,,힌트,2017-03-31,Starpro,5,7,Yes
HISTORY,,히스토리,2013-04-26,LOEN,5,5,No
Honey Popcorn,,허니팝콘,2018-03-21,Kyun Create,3,3,No
Honeyst,,허니스트,2017-05-17,FNC,4,4,Yes
Hotshot,,핫샷,2014-10-29,Star Crew,5,6,No
i-dle,,(여자)아이들,2018-05-02,Cube,5,6,Yes
I.C.E,,아이스,2015-11-16,HS,3,4,Yes
ILLIT,,아일릿,2024-03-25,Be:lift,5,5,Yes
ICHILLIN',,아이칠린,2021-09-08,KM,7,7,Yes
ICU,,아이씨유,2019-10-22,Liz,5,5,Yes
iKON,,아이콘,2015-09-15,YG,6,7,Yes
ILUV,I LUV,아이러브,2019-04-30,WKS ENE,7,7,No
ILY:1,,아일리원,2022-04-04,FC ENM,6,6,Yes
Imfact,,임팩트,2016-01-27,Star Empire,5,5,Yes
INX,,인엑스,2016-08-02,NA,5,5,No
IOI,I.O.I,아이오아이,2016-05-04,YMC,11,11,No
IRRIS,,아이리스,2022-07-06,Mellow,4,4,Yes
ITZY,,있지,2019-02-12,JYP,5,5,Yes
IVE,,아이브,2021-12-01,Starship,6,6,Yes
IZ,,아이즈,2017-08-31,Music K,4,4,Yes
IZ*ONE,IZONE,아이즈원,2018-10-29,Off The Record,12,12,No
JBJ,,제이비제이,2017-10-18,Fave,6,6,No
JBJ95,,제이비제이95,2018-10-30,Hunus,2,2,Yes
JJCC,,제이제이씨씨,2014-03-13,Jackie Chan Group,5,6,No
JUST B,,저스트비,2021-06-30,Bluedot,6,6,Yes
Jwiiver,,제이위버,2022-02-17,JTG,7,7,No
K-Much,,케이머치,2014-01-07,Chrome,4,5,No
KEEMBO,,킴보,2020-04-10,ARA-LINE,2,2,Yes
Kep1er,,케플러,2022-03-01,WAKEONE,9,9,Yes
KHAN,,칸,2018-05-23,Maroo,2,2,No
KISS OF LIFE,,키스 오브 라이프,2023-06-05,S2,4,4,Yes
Kitten Girls,,키튼걸스,2018-09-04,Wannabe,4,4,No
KNK,,크나큰,2016-03-03,YNB,5,5,Yes
Laboum,,라붐,2014-08-27,NH,4,6,Yes
Ladies' Code,LC,레이디스 코드,2013-03-07,Polaris,3,5,Hiatus
Lapillus,,라필루스,2022-06-22,MLD,6,6,Yes
LE SSERAFIM,,르세라핌,2022-05-02,Source,5,6,Yes
LIGHTSUM,,라잇썸,2021-06-10,Cube,6,8,Yes
LIMELIGHT,,라임라잇,2023-02-17,143,3,3,Yes
Limitless,,리미트리스,2019-07-09,ONO,4,4,Yes
LipBubble,,립버블,2017-03-22,Zenith,7,7,No
Loona,LOOΠΔ,이달의 소녀,2018-08-20,Blockberry,12,12,Yes
Loossemble,,루셈블,2023-09-15,CTDENM,5,5,Yes
Lovelyz,,러블리즈,2014-11-17,Woollim,8,8,No
LU:KUS,,루커스,2014-07-04,JWK,4,5,Yes
Lucente,,루첸트,2018-09-18,NOGA,7,7,Yes
LUMINOUS,LMN,루미너스,2021-09-09,Barunson,4,4,Yes
LUN8,,루네이트,2023-06-15,Fantagio,8,8,Yes
LUNARSOLAR,,루나솔라,2020-09-02,J Planet,4,4,No
Lusty,,러스티,2019-06-26,babaplay,5,5,Yes
M.O.N.T,MONT,몬트,2019-01-04,FM,3,3,Yes
Madtown,,매드타운,2014-10-06,GNI,7,7,No
MAJORS,,메이져스,2021-03-09,ANS,6,6,Yes
Maka Maka,,마카마카,2020-08-04,Dreamus,5,5,Yes
Mamamoo,,마마무,2014-06-18,RBW,4,4,Yes
MAP6,,맵식스,2015-11-10,DreamT,5,5,Yes
Marmello,,마르멜로,2017-05-24,Rolling,5,5,No
Masc,,마스크,2016-08-19,JJ Holic,4,8,Yes
Matilda,,마틸다,2016-03-18,Box,4,4,No
MCND,,엠씨엔디,2020-02-27,TOP Media,5,5,Yes
Melody Day,,멜로디데이,2014-02-25,Cre.Ker,4,3,No
Melody Pink,,멜로디핑크,2019-09-25,KD,4,4,Yes
Mfect,M.fect,엠펙트,2015-04-27,Midas,5,5,Yes
mimiirose,,미미로즈,2022-09-16,YES IM,5,5,Yes
Minx,,밍스,2014-09-18,Happy Face,5,5,No
MIRAE,,미래소년,2021-03-17,DSP,7,7,Yes
Mixx,,믹스,2016-05-02,Chiko,5,4,No
Momoland,,모모랜드,2016-11-09,Double Kick,6,7,Yes
MONSTA X,,몬스타엑스,2014-05-14,Starship,6,7,Yes
MR.MR,,미스터미스터,2012-10-04,WinningIn,6,5,Yes
MustB,,머스트비,2019-01-21,MustM,7,7,Yes
MVP,,엠브이피,2017-03-13,PH,6,7,Yes
MXM,,엠엑스엠,2017-09-06,Brand New,2,2,Yes
MY.st,,마이스트,2020-03-26,MYStar,5,5,No
myB,,마이비,2015-08-25,Maroo,6,6,No
Myteen,,마이틴,2017-07-26,The Music Works,6,7,No
N.CUS,,엔쿠스,2019-08-27,Kyuri,12,12,Yes
N.Flying,,엔플라잉,2015-05-20,FNC,4,4,Yes
n.SSign,,엔싸인,2023-08-09,n.CH,10,10,Yes
Nature,,네이처,2018-08-03,n.CH,9,9,Yes
NCT,,엔시티,2016-04-09,SM,23,23,Yes
NeonPunch,,네온펀치,2018-06-27,A100,5,5,No
